learning_rate,dropout_rate,neurons,epochs,test_accuracy,val_loss
0.0001,0.3,64,25,0.1428571492433548,1.8054828643798828
0.0001,0.3,64,50,0.1428571492433548,1.9641482830047607
0.0001,0.3,64,100,0.2857142984867096,1.767478585243225
0.0001,0.3,128,25,0.4285714328289032,1.9769389629364014
0.0001,0.3,128,50,0.1428571492433548,2.0349361896514893
0.0001,0.3,128,100,0.4285714328289032,1.805649757385254
0.0001,0.3,256,25,0.0,2.147573471069336
0.0001,0.3,256,50,0.1428571492433548,2.104037284851074
0.0001,0.3,256,100,0.4285714328289032,1.8178383111953735
0.0001,0.4,64,25,0.1428571492433548,1.9453579187393188
0.0001,0.4,64,50,0.0,1.9158680438995361
0.0001,0.4,64,100,0.2857142984867096,1.9917093515396118
0.0001,0.4,128,25,0.1428571492433548,2.1085526943206787
0.0001,0.4,128,50,0.2857142984867096,2.0025694370269775
0.0001,0.4,128,100,0.2857142984867096,1.983974814414978
0.0001,0.4,256,25,0.0,2.195643663406372
0.0001,0.4,256,50,0.2857142984867096,2.1489968299865723
0.0001,0.4,256,100,0.1428571492433548,2.1814098358154297
0.0001,0.5,64,25,0.0,1.9469184875488281
0.0001,0.5,64,50,0.4285714328289032,1.9155938625335693
0.0001,0.5,64,100,0.4285714328289032,1.9235334396362305
0.0001,0.5,128,25,0.1428571492433548,1.991609811782837
0.0001,0.5,128,50,0.1428571492433548,1.9480397701263428
0.0001,0.5,128,100,0.1428571492433548,1.9669208526611328
0.0001,0.5,256,25,0.1428571492433548,2.122659206390381
0.0001,0.5,256,50,0.1428571492433548,2.103414535522461
0.0001,0.5,256,100,0.1428571492433548,2.240928888320923
0.001,0.3,64,25,0.2857142984867096,1.804517149925232
0.001,0.3,64,50,0.1428571492433548,1.7125842571258545
0.001,0.3,64,100,0.0,1.760011911392212
0.001,0.3,128,25,0.2857142984867096,1.9627611637115479
0.001,0.3,128,50,0.1428571492433548,3.688488721847534
0.001,0.3,128,100,0.4285714328289032,1.3335602283477783
0.001,0.3,256,25,0.1428571492433548,4.769313335418701
0.001,0.3,256,50,0.1428571492433548,8.04582405090332
0.001,0.3,256,100,0.0,3.885446071624756
0.001,0.4,64,25,0.1428571492433548,2.2625389099121094
0.001,0.4,64,50,0.4285714328289032,1.7520239353179932
0.001,0.4,64,100,0.2857142984867096,1.8503434658050537
0.001,0.4,128,25,0.2857142984867096,4.687710762023926
0.001,0.4,128,50,0.2857142984867096,2.8714284896850586
0.001,0.4,128,100,0.1428571492433548,1.6837810277938843
0.001,0.4,256,25,0.4285714328289032,3.8627498149871826
0.001,0.4,256,50,0.1428571492433548,9.9773530960083
0.001,0.4,256,100,0.0,3.857248306274414
0.001,0.5,64,25,0.0,2.507610321044922
0.001,0.5,64,50,0.2857142984867096,1.6219327449798584
0.001,0.5,64,100,0.1428571492433548,1.9391353130340576
0.001,0.5,128,25,0.1428571492433548,2.3750908374786377
0.001,0.5,128,50,0.0,3.4790523052215576
0.001,0.5,128,100,0.2857142984867096,2.222926378250122
0.001,0.5,256,25,0.2857142984867096,8.474629402160645
0.001,0.5,256,50,0.2857142984867096,8.336899757385254
0.001,0.5,256,100,0.1428571492433548,3.9633610248565674
0.01,0.3,64,25,0.1428571492433548,46.54566955566406
0.01,0.3,64,50,0.0,63.465843200683594
0.01,0.3,64,100,0.2857142984867096,74.34408569335938
0.01,0.3,128,25,0.1428571492433548,236.45443725585938
0.01,0.3,128,50,0.4285714328289032,165.81314086914062
0.01,0.3,128,100,0.1428571492433548,145.735595703125
0.01,0.3,256,25,0.1428571492433548,108.4291763305664
0.01,0.3,256,50,0.0,670.2999877929688
0.01,0.3,256,100,0.0,118.33918762207031
0.01,0.4,64,25,0.0,30.185985565185547
0.01,0.4,64,50,0.1428571492433548,62.649559020996094
0.01,0.4,64,100,0.1428571492433548,16.00638771057129
0.01,0.4,128,25,0.2857142984867096,56.70191192626953
0.01,0.4,128,50,0.1428571492433548,357.5544738769531
0.01,0.4,128,100,0.0,279.5186462402344
0.01,0.4,256,25,0.1428571492433548,635.5186157226562
0.01,0.4,256,50,0.2857142984867096,192.8999481201172
0.01,0.4,256,100,0.4285714328289032,494.5575256347656
0.01,0.5,64,25,0.1428571492433548,132.3219451904297
0.01,0.5,64,50,0.4285714328289032,60.50626754760742
0.01,0.5,64,100,0.5714285969734192,40.27701950073242
0.01,0.5,128,25,0.0,199.4026641845703
0.01,0.5,128,50,0.1428571492433548,35.61762619018555
0.01,0.5,128,100,0.2857142984867096,51.95093536376953
0.01,0.5,256,25,0.2857142984867096,452.44696044921875
0.01,0.5,256,50,0.2857142984867096,71.89651489257812
0.01,0.5,256,100,0.4285714328289032,68.38497924804688
